number,value,datetime_start,datetime_complete,duration,params_batch_size,params_dropout,params_lr,params_n_layers,params_n_units_l0,params_n_units_l1,params_n_units_l2,params_optimizer,state
0,0.9413999915122986,2026-08-29 21:46:37.071894,2026-08-29 21:46:50.625975,0 days 00:00:13.554081,128,0.3005575058716044,0.0002051338263087451,2,139,33.0,,adam,COMPLETE
1,0.9610000252723694,2026-08-29 21:46:50.627648,2026-08-29 21:47:11.779627,0 days 00:00:21.151979,64,0.14561457009902096,0.00023270677083837802,3,114,42.0,58.0,adam,COMPLETE
2,0.5529000163078308,2026-08-29 21:47:11.781332,2026-08-29 21:47:22.451487,0 days 00:00:10.670155,128,0.08526206184364576,0.0010677482709481358,2,36,230.0,,sgd,COMPLETE
3,0.9746999740600586,2026-08-29 21:47:22.453543,2026-08-29 21:47:39.158122,0 days 00:00:16.704579,128,0.017194260557609198,0.0023359635026261607,3,212,54.0,126.0,adam,COMPLETE
4,0.9151999950408936,2026-08-29 21:47:39.159918,2026-08-29 21:47:57.628156,0 days 00:00:18.468238,64,0.29894998940554257,0.00869299151113955,1,218,,,sgd,COMPLETE
5,0.9663000106811523,2026-08-29 21:47:57.629755,2026-08-29 21:48:14.965400,0 days 00:00:17.335645,64,0.14046725484369038,0.0005989003672254305,1,98,,,rmsprop,COMPLETE
6,0.9735000133514404,2026-08-29 21:48:14.966889,2026-08-29 21:48:26.910530,0 days 00:00:11.943641,128,0.35342867192380856,0.0035033984911586884,1,145,,,rmsprop,COMPLETE
7,0.9296000003814697,2026-08-29 21:48:26.911975,2026-08-29 21:48:57.044682,0 days 00:00:30.132707,32,0.1554911608578311,0.005323617594751502,3,62,145.0,120.0,sgd,PRUNED
8,0.9614999890327454,2026-08-29 21:48:57.045994,2026-08-29 21:49:14.668722,0 days 00:00:17.622728,64,0.26136641469099703,0.0033233042062267943,3,77,33.0,39.0,rmsprop,COMPLETE
9,0.9625999927520752,2026-08-29 21:49:14.670082,2026-08-29 21:49:23.442694,0 days 00:00:08.772612,128,0.11439908274581123,0.006533305220227739,1,37,,,adam,COMPLETE
10,0.9465000033378601,2026-08-29 21:49:23.443974,2026-08-29 21:50:04.248046,0 days 00:00:40.804072,32,0.4812181096282869,0.00010353677627159794,2,211,76.0,,adam,PRUNED
11,0.9643999934196472,2026-08-29 21:50:04.249454,2026-08-29 21:50:15.425646,0 days 00:00:11.176192,128,0.005458646128081765,0.0019383199835819554,2,164,78.0,,rmsprop,COMPLETE
12,0.9670000076293945,2026-08-29 21:50:15.426889,2026-08-29 21:50:33.544182,0 days 00:00:18.117293,128,0.45124673987703534,0.0023976227274240727,3,238,68.0,255.0,rmsprop,COMPLETE
13,0.9703999757766724,2026-08-29 21:50:33.545743,2026-08-29 21:50:45.696337,0 days 00:00:12.150594,128,0.3859647918800967,0.001161847118682121,1,140,,,adam,COMPLETE
14,0.9746999740600586,2026-08-29 21:50:45.697900,2026-08-29 21:50:59.694718,0 days 00:00:13.996818,128,0.2244450945838231,0.003979652033697285,2,173,133.0,,rmsprop,COMPLETE
15,0.9771000146865845,2026-08-29 21:50:59.696363,2026-08-29 21:51:14.561857,0 days 00:00:14.865494,128,0.0037180543197952998,0.0013441534062383206,2,177,130.0,,adam,COMPLETE
16,0.9747999906539917,2026-08-29 21:51:14.563134,2026-08-29 21:51:57.740227,0 days 00:00:43.177093,32,0.006064618347060168,0.0007377187749757203,3,240,118.0,114.0,adam,COMPLETE
17,0.973800003528595,2026-08-29 21:51:57.741696,2026-08-29 21:52:38.156221,0 days 00:00:40.414525,32,0.06026954957728082,0.0005205123458422128,2,179,118.0,,adam,COMPLETE
18,0.974399983882904,2026-08-29 21:52:38.157908,2026-08-29 21:53:17.156689,0 days 00:00:38.998781,32,0.057619550374315556,0.0006172828272435529,3,116,228.0,79.0,adam,COMPLETE
19,0.9765999913215637,2026-08-29 21:53:17.158514,2026-08-29 21:54:01.003718,0 days 00:00:43.845204,32,0.20295317653919642,0.0011982448134112169,2,256,107.0,,adam,COMPLETE
